# Observation File: water_balance.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: runoff [mol d^-1]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: runoff subsurface [mol d^-1]
# Region: lakeside
# Reduction: extensive integral
# Variable: water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: irrigation [m d^-1]
# Region: surface domain
# Reduction: integral
# Variable: surface-water_source
# Number of Vectors: 1
# =============================================================================
"time [d]","surface water content [mol]","subsurface water content [mol]","runoff [mol d^-1]","runoff subsurface [mol d^-1]","irrigation [m d^-1]"
4.041666666667e+00,5.640856466361e+06,8.112771189743e+07,0.000000000000e+00,1.045517540115e+02,0.000000000000e+00
4.083333333333e+00,5.640836876658e+06,8.112762710452e+07,0.000000000000e+00,1.044998514582e+02,0.000000000000e+00
4.125000000000e+00,5.640817287379e+06,8.112754234956e+07,0.000000000000e+00,1.044478932602e+02,0.000000000000e+00
4.166666666667e+00,5.640797698530e+06,8.112745763419e+07,0.000000000000e+00,1.043958837407e+02,0.000000000000e+00
4.208333333333e+00,5.640778110114e+06,8.112737295988e+07,0.000000000000e+00,1.043438272230e+02,0.000000000000e+00
4.250000000000e+00,5.640758522139e+06,8.112728832790e+07,0.000000000000e+00,1.042917280243e+02,0.000000000000e+00
4.291666666667e+00,5.640738934612e+06,8.112720373939e+07,0.000000000000e+00,1.042395904492e+02,0.000000000000e+00
4.333333333333e+00,5.640719347539e+06,8.112711919533e+07,0.000000000000e+00,1.041874187861e+02,0.000000000000e+00
4.375000000000e+00,5.640699760928e+06,8.112703469660e+07,0.000000000000e+00,1.041352173010e+02,0.000000000000e+00
4.416666666667e+00,5.640680174787e+06,8.112695024398e+07,0.000000000000e+00,1.040829902333e+02,0.000000000000e+00
4.458333333333e+00,5.640660589128e+06,8.112686583817e+07,0.000000000000e+00,1.040307417930e+02,0.000000000000e+00
4.500000000000e+00,5.640641003950e+06,8.112678147980e+07,0.000000000000e+00,1.039784761519e+02,0.000000000000e+00
4.541666666667e+00,5.640621419258e+06,8.112669716933e+07,0.000000000000e+00,1.039261974492e+02,0.000000000000e+00
4.583333333333e+00,5.640601835065e+06,8.112661290719e+07,0.000000000000e+00,1.038739097784e+02,0.000000000000e+00
4.625000000000e+00,5.640582251370e+06,8.112652869375e+07,0.000000000000e+00,1.038216171916e+02,0.000000000000e+00
4.666666666667e+00,5.640562668197e+06,8.112644452933e+07,0.000000000000e+00,1.037693236946e+02,0.000000000000e+00
4.708333333333e+00,5.640543085538e+06,8.112636041417e+07,0.000000000000e+00,1.037170332430e+02,0.000000000000e+00
4.750000000000e+00,5.640523503416e+06,8.112627634845e+07,0.000000000000e+00,1.036647497409e+02,0.000000000000e+00
4.791666666667e+00,5.640503921822e+06,8.112619233227e+07,0.000000000000e+00,1.036124770404e+02,0.000000000000e+00
4.833333333333e+00,5.640484340787e+06,8.112610836565e+07,0.000000000000e+00,1.035602189380e+02,0.000000000000e+00
4.875000000000e+00,5.640464760291e+06,8.112602444842e+07,0.000000000000e+00,1.035079791744e+02,0.000000000000e+00
4.916666666667e+00,5.640445180345e+06,8.112594058017e+07,0.000000000000e+00,1.034557614316e+02,0.000000000000e+00
4.958333333333e+00,5.640425600967e+06,8.112585675990e+07,0.000000000000e+00,1.034035693338e+02,0.000000000000e+00
5.000000000000e+00,5.640406022165e+06,8.112577298516e+07,0.000000000000e+00,1.033514064450e+02,0.000000000000e+00
5.041666666667e+00,5.640386443948e+06,8.114548926439e+07,0.000000000000e+00,1.032992762677e+02,3.600000000000e-01
5.083333333333e+00,5.640366866323e+06,8.116520559374e+07,0.000000000000e+00,1.032471822430e+02,3.600000000000e-01
5.125000000000e+00,5.640347289299e+06,8.118492197564e+07,0.000000000000e+00,1.031951277498e+02,3.600000000000e-01
5.166666666667e+00,5.640327712881e+06,8.120463840894e+07,0.000000000000e+00,1.031431161040e+02,3.600000000000e-01
5.208333333333e+00,5.640308137077e+06,8.122435489811e+07,0.000000000000e+00,1.030911505587e+02,3.600000000000e-01
5.250000000000e+00,5.640288561896e+06,8.124407143527e+07,0.000000000000e+00,1.030392343031e+02,3.600000000000e-01
5.291666666667e+00,5.640268987344e+06,8.126378802280e+07,0.000000000000e+00,1.029873704629e+02,3.600000000000e-01
5.333333333333e+00,5.640249413429e+06,8.128350466127e+07,0.000000000000e+00,1.029355621000e+02,3.600000000000e-01
5.375000000000e+00,5.640229840157e+06,8.130322135079e+07,0.000000000000e+00,1.028838122124e+02,3.600000000000e-01
5.416666666667e+00,5.640210267535e+06,8.132293809131e+07,0.000000000000e+00,1.028321237342e+02,3.600000000000e-01
5.458333333333e+00,5.640190695639e+06,8.134265488272e+07,0.000000000000e+00,1.027804995379e+02,3.600000000000e-01
5.500000000000e+00,5.640171124815e+06,8.136237172461e+07,0.000000000000e+00,1.027289424998e+02,3.600000000000e-01
5.541666666667e+00,5.640151555058e+06,8.138208861691e+07,0.000000000000e+00,1.026774553737e+02,3.600000000000e-01
5.583333333333e+00,5.640131986287e+06,8.140180555965e+07,0.000000000000e+00,1.026260408351e+02,3.600000000000e-01
5.625000000000e+00,5.640112418482e+06,8.142152255275e+07,0.000000000000e+00,1.025747015089e+02,3.600000000000e-01
5.666666666667e+00,5.640092851674e+06,8.144123959612e+07,0.000000000000e+00,1.025234400183e+02,3.600000000000e-01
5.708333333333e+00,5.640073285867e+06,8.146095668967e+07,0.000000000000e+00,1.024722588841e+02,3.600000000000e-01
5.750000000000e+00,5.640053721042e+06,8.148067383333e+07,0.000000000000e+00,1.024211605419e+02,3.600000000000e-01
5.791666666667e+00,5.640034157177e+06,8.150039102705e+07,0.000000000000e+00,1.023701473658e+02,3.600000000000e-01
5.833333333333e+00,5.640014594217e+06,8.152010871624e+07,0.000000000000e+00,1.023192216740e+02,3.600000000000e-01
5.875000000000e+00,5.639995032171e+06,8.153982638477e+07,0.000000000000e+00,1.022683857259e+02,3.600000000000e-01
5.916666666667e+00,5.639975471004e+06,8.155954404580e+07,0.000000000000e+00,1.022176417232e+02,3.600000000000e-01
5.958333333333e+00,5.639955910701e+06,8.157926171050e+07,0.000000000000e+00,1.021669918103e+02,3.600000000000e-01
6.000000000000e+00,5.639936351317e+06,8.159897938803e+07,0.000000000000e+00,1.021164380724e+02,3.600000000000e-01
6.041666666667e+00,5.639916792742e+06,8.161869708573e+07,0.000000000000e+00,1.020659825406e+02,3.600000000000e-01
6.083333333333e+00,5.639897235029e+06,8.163841480938e+07,0.000000000000e+00,1.020156271870e+02,3.600000000000e-01
6.125000000000e+00,5.639877678148e+06,8.165813256338e+07,0.000000000000e+00,1.019653739286e+02,3.600000000000e-01
6.166666666667e+00,5.639858122109e+06,8.167785035103e+07,0.000000000000e+00,1.019152246287e+02,3.600000000000e-01
6.208333333333e+00,5.639838566902e+06,8.169756817467e+07,0.000000000000e+00,1.018651810956e+02,3.600000000000e-01
6.250000000000e+00,5.639819012530e+06,8.171728603584e+07,0.000000000000e+00,1.018152450849e+02,3.600000000000e-01
6.291666666667e+00,5.639799458987e+06,8.173700393535e+07,0.000000000000e+00,1.017654182998e+02,3.600000000000e-01
6.333333333333e+00,5.639779906273e+06,8.175672187330e+07,0.000000000000e+00,1.017157023919e+02,3.600000000000e-01
6.375000000000e+00,5.639760354388e+06,8.177643984876e+07,0.000000000000e+00,1.016660989619e+02,3.600000000000e-01
6.416666666667e+00,5.639740803331e+06,8.179615785948e+07,0.000000000000e+00,1.016166095608e+02,3.600000000000e-01
6.458333333333e+00,5.639721253101e+06,8.181587590103e+07,0.000000000000e+00,1.015672356903e+02,3.600000000000e-01
6.500000000000e+00,5.639701703698e+06,8.183559396495e+07,0.000000000000e+00,1.015179788039e+02,3.600000000000e-01
6.541666666667e+00,5.639682155121e+06,8.185531203653e+07,0.000000000000e+00,1.014688403077e+02,3.600000000000e-01
6.583333333333e+00,5.639662607446e+06,8.187503016437e+07,0.000000000000e+00,1.014198215605e+02,3.600000000000e-01
6.625000000000e+00,5.639643060602e+06,8.189474834021e+07,0.000000000000e+00,1.013709238769e+02,3.600000000000e-01
6.666666666667e+00,5.639623514593e+06,8.191446656309e+07,0.000000000000e+00,1.013221485253e+02,3.600000000000e-01
6.708333333333e+00,5.639603969417e+06,8.193418474838e+07,0.000000000000e+00,1.012734967297e+02,3.600000000000e-01
6.750000000000e+00,5.639584425076e+06,8.195390306775e+07,0.000000000000e+00,1.012249696715e+02,3.600000000000e-01
6.791666666667e+00,5.639564881571e+06,8.197362143468e+07,0.000000000000e+00,1.011765684890e+02,3.600000000000e-01
6.833333333333e+00,5.639545338901e+06,8.199333984906e+07,0.000000000000e+00,1.011282942791e+02,3.600000000000e-01
6.875000000000e+00,5.639525797067e+06,8.201305831074e+07,0.000000000000e+00,1.010801480976e+02,3.600000000000e-01
6.916666666667e+00,5.639506256069e+06,8.203277681959e+07,0.000000000000e+00,1.010321309600e+02,3.600000000000e-01
6.958333333333e+00,5.639486715907e+06,8.205249537542e+07,0.000000000000e+00,1.009842438428e+02,3.600000000000e-01
7.000000000000e+00,5.639467176580e+06,8.207221397666e+07,0.000000000000e+00,1.009364876835e+02,3.600000000000e-01
7.041666666667e+00,5.639447638090e+06,8.209193262559e+07,0.000000000000e+00,1.008888633824e+02,3.600000000000e-01
7.083333333333e+00,5.639428100434e+06,8.211165131602e+07,0.000000000000e+00,1.008413718019e+02,3.600000000000e-01
7.125000000000e+00,5.639408563614e+06,8.213137005833e+07,0.000000000000e+00,1.007940137691e+02,3.600000000000e-01
7.166666666667e+00,5.639389027628e+06,8.215108884752e+07,0.000000000000e+00,1.007467900748e+02,3.600000000000e-01
7.208333333333e+00,5.639369492474e+06,8.217080768101e+07,0.000000000000e+00,1.006997014754e+02,3.600000000000e-01
7.250000000000e+00,5.639349958153e+06,8.219052656258e+07,0.000000000000e+00,1.006527486931e+02,3.600000000000e-01
7.291666666667e+00,5.639330424659e+06,8.221024548801e+07,0.000000000000e+00,1.006059324174e+02,3.600000000000e-01
7.333333333333e+00,5.639310891992e+06,8.222996445943e+07,0.000000000000e+00,1.005592533042e+02,3.600000000000e-01
7.375000000000e+00,5.639291360151e+06,8.224968347854e+07,0.000000000000e+00,1.005127119782e+02,3.600000000000e-01
7.416666666667e+00,5.639271829132e+06,8.226940254167e+07,0.000000000000e+00,1.004663090330e+02,3.600000000000e-01
7.458333333333e+00,5.639252298932e+06,8.228912165182e+07,0.000000000000e+00,1.004200450314e+02,3.600000000000e-01
7.500000000000e+00,5.639232769535e+06,8.230884079739e+07,0.000000000000e+00,1.003739205063e+02,3.600000000000e-01
7.541666666667e+00,5.639213240963e+06,8.232856000149e+07,0.000000000000e+00,1.003279359622e+02,3.600000000000e-01
7.583333333333e+00,5.639193713198e+06,8.234827924708e+07,0.000000000000e+00,1.002820918743e+02,3.600000000000e-01
7.625000000000e+00,5.639174186236e+06,8.236799853760e+07,0.000000000000e+00,1.002363886907e+02,3.600000000000e-01
7.666666666667e+00,5.639154660072e+06,8.238771787289e+07,0.000000000000e+00,1.001908268319e+02,3.600000000000e-01
7.708333333333e+00,5.639135134701e+06,8.240743725285e+07,0.000000000000e+00,1.001454066921e+02,3.600000000000e-01
7.750000000000e+00,5.639115610118e+06,8.242715667730e+07,0.000000000000e+00,1.001001286395e+02,3.600000000000e-01
7.791666666667e+00,5.639096086315e+06,8.244687614608e+07,0.000000000000e+00,1.000549930175e+02,3.600000000000e-01
7.833333333333e+00,5.639076563287e+06,8.246659565888e+07,0.000000000000e+00,1.000100001440e+02,3.600000000000e-01
7.875000000000e+00,5.639057041026e+06,8.248631521123e+07,0.000000000000e+00,9.996515031367e+01,3.600000000000e-01
7.916666666667e+00,5.639037519528e+06,8.250603481050e+07,0.000000000000e+00,9.992044379755e+01,3.600000000000e-01
7.958333333333e+00,5.639017998784e+06,8.252575447519e+07,0.000000000000e+00,9.987588084324e+01,3.600000000000e-01
8.000000000000e+00,5.638998478784e+06,8.254547416221e+07,0.000000000000e+00,9.983146167699e+01,3.600000000000e-01
8.041666666667e+00,5.638978959518e+06,8.256519389122e+07,0.000000000000e+00,9.978718650242e+01,3.600000000000e-01
8.083333333333e+00,5.638959440981e+06,8.258491366670e+07,0.000000000000e+00,9.974305550275e+01,3.600000000000e-01
8.125000000000e+00,5.638939923157e+06,8.260463348539e+07,0.000000000000e+00,9.969906883998e+01,3.600000000000e-01
8.166666666667e+00,5.638920406039e+06,8.262435334641e+07,0.000000000000e+00,9.965522665631e+01,3.600000000000e-01
8.208333333333e+00,5.638900889616e+06,8.264407321442e+07,0.000000000000e+00,9.961152907433e+01,3.600000000000e-01
8.250000000000e+00,5.638881373874e+06,8.266379316216e+07,0.000000000000e+00,9.956797619768e+01,3.600000000000e-01
