# Observation File: observation_flux.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: water flux [mol]
# Region: observation region
# Reduction: extensive integral
# Variable: water_flux
# Number of Vectors: 1
# =============================================================================
"time [d]","water flux [mol]"
3.917825989122e+00,-4.932510350754e-02
3.932872316813e+00,-4.935781145137e-02
3.947918644503e+00,-4.938893022365e-02
3.962964972194e+00,-4.941853740747e-02
3.978011299884e+00,-4.944670676250e-02
3.993057627575e+00,-4.947350841728e-02
4.000000000000e+00,-4.948558890871e-02
4.015046327691e+00,-4.951050319427e-02
4.030092655381e+00,-4.953420847754e-02
4.045138983072e+00,-4.955676365819e-02
4.060185310762e+00,-4.957822474395e-02
4.075231638453e+00,-4.959864499321e-02
4.090277966143e+00,-4.961807505107e-02
4.105324293834e+00,-4.963656307906e-02
4.120370621524e+00,-4.965415487889e-02
4.135416949215e+00,-4.967089401016e-02
4.150463276905e+00,-4.968682190234e-02
4.165509604596e+00,-4.970197796102e-02
4.180555932286e+00,-4.971639966861e-02
4.195602259977e+00,-4.973012267976e-02
4.210648587667e+00,-4.974318091162e-02
4.225694915358e+00,-4.975560662942e-02
4.240741243048e+00,-4.976743052754e-02
4.255787570739e+00,-4.977868180642e-02
4.270833898429e+00,-4.978938824564e-02
4.285880226120e+00,-4.979957627334e-02
4.300926553811e+00,-4.980927103222e-02
4.315972881501e+00,-4.981849644242e-02
4.331019209192e+00,-4.982727526112e-02
4.346065536882e+00,-4.983562913942e-02
4.361111864573e+00,-4.984357867623e-02
4.376158192263e+00,-4.985114346965e-02
4.391204519954e+00,-4.985834216572e-02
4.406250847644e+00,-4.986519250478e-02
4.421297175335e+00,-4.987171136561e-02
4.436343503025e+00,-4.987791480737e-02
4.451389830716e+00,-4.988381810953e-02
4.466436158406e+00,-4.988943580981e-02
4.481482486097e+00,-4.989478174036e-02
4.496528813787e+00,-4.989986906207e-02
4.511575141478e+00,-4.990471029728e-02
4.526621469168e+00,-4.990931736088e-02
4.541667796859e+00,-4.991370158987e-02
4.556714124549e+00,-4.991787377145e-02
4.571760452240e+00,-4.992184416979e-02
4.586806779930e+00,-4.992562255143e-02
4.601853107621e+00,-4.992921820951e-02
4.616899435312e+00,-4.993263998674e-02
4.631945763002e+00,-4.993589629731e-02
4.646992090693e+00,-4.993899514770e-02
4.662038418383e+00,-4.994194415650e-02
4.677084746074e+00,-4.994475057322e-02
4.692131073764e+00,-4.994742129626e-02
4.707177401455e+00,-4.994996288988e-02
4.722223729145e+00,-4.995238160052e-02
4.737270056836e+00,-4.995468337212e-02
4.752316384526e+00,-4.995687386086e-02
4.767362712217e+00,-4.995895844909e-02
4.782409039907e+00,-4.996094225861e-02
