# Observation File: water_balance.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: runoff generation [mol d^-1]
# Region: outlet
# Functional: extensive integral
# Variable: surface-mass_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evapotranspiration [m d^-1]
# Region: surface domain
# Functional: average
# Variable: surface-total_evapotranspiration
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow precipitation [m d^-1]
# Region: surface domain
# Functional: average
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow melt [m d^-1]
# Region: surface domain
# Functional: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain precipitation [m d^-1]
# Region: surface domain
# Functional: average
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Functional: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Functional: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# =============================================================================
"time [d]","runoff generation [mol d^-1]","evapotranspiration [m d^-1]","snow precipitation [m d^-1]","snow melt [m d^-1]","rain precipitation [m d^-1]","surface water content [mol]","subsurface water content [mol]","snow water content [mol]"
3.930000000000e+02,7.115801125634e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.355713603584e+02,2.106353903270e+08,1.878697674419e+06
3.940000000000e+02,7.111622155241e+03,0.000000000000e+00,4.018604651163e-03,0.000000000000e+00,0.000000000000e+00,4.354181483531e+02,2.106282788587e+08,2.099720930233e+06
3.950000000000e+02,7.107484451776e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.352664136178e+02,2.106211715267e+08,2.099720930233e+06
3.960000000000e+02,7.103388587055e+03,0.000000000000e+00,4.018604651163e-03,0.000000000000e+00,0.000000000000e+00,4.351161781626e+02,2.106140682889e+08,2.320744186047e+06
3.970000000000e+02,7.099328696538e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.349672278427e+02,2.106069691097e+08,2.320744186047e+06
3.980000000000e+02,7.095305693117e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.348195970451e+02,2.105998739516e+08,2.320744186047e+06
3.990000000000e+02,7.091317059188e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.346731942498e+02,2.105927827814e+08,2.320744186047e+06
4.000000000000e+02,7.087361596146e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.345279762771e+02,2.105856955655e+08,2.320744186047e+06
4.010000000000e+02,7.083439479791e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.343839503780e+02,2.105786122704e+08,2.320744186047e+06
4.020000000000e+02,7.079550328217e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.342411033167e+02,2.105715328633e+08,2.320744186047e+06
4.030000000000e+02,7.075693547261e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.340994140408e+02,2.105644573117e+08,2.320744186047e+06
4.040000000000e+02,7.071868545199e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.339588615630e+02,2.105573855840e+08,2.320744186047e+06
4.050000000000e+02,7.068074699236e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.338194237296e+02,2.105503176491e+08,2.320744186047e+06
4.060000000000e+02,7.064311393594e+03,0.000000000000e+00,7.032558139535e-03,0.000000000000e+00,0.000000000000e+00,4.336810786201e+02,2.105432534763e+08,2.707534883721e+06
4.070000000000e+02,7.060578007305e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.335438040988e+02,2.105361930359e+08,2.707534883721e+06
4.080000000000e+02,7.056873920238e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.334075780368e+02,2.105291362984e+08,2.707534883721e+06
4.090000000000e+02,7.053198522311e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.332723786511e+02,2.105220832353e+08,2.707534883721e+06
4.100000000000e+02,7.049551209038e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.331381843416e+02,2.105150338185e+08,2.707534883721e+06
4.110000000000e+02,7.045931388097e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.330049739331e+02,2.105079880205e+08,2.707534883721e+06
4.120000000000e+02,7.042338500631e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.328727274605e+02,2.105009458144e+08,2.707534883721e+06
4.130000000000e+02,7.038771960962e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.327414239504e+02,2.104939071739e+08,2.707534883721e+06
4.140000000000e+02,7.035231376474e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.326110495180e+02,2.104868720730e+08,2.707534883721e+06
4.150000000000e+02,7.031716148047e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.324815826572e+02,2.104798404865e+08,2.707534883721e+06
4.160000000000e+02,7.028225729855e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.323530038038e+02,2.104728123895e+08,2.707534883721e+06
4.170000000000e+02,7.024759602051e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.322252943321e+02,2.104657877577e+08,2.707534883721e+06
4.180000000000e+02,7.021317270563e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.320984365477e+02,2.104587665673e+08,2.707534883721e+06
4.190000000000e+02,7.017898255239e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.319724132523e+02,2.104517487952e+08,2.707534883721e+06
4.200000000000e+02,7.014502094852e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.318472079285e+02,2.104447344184e+08,2.707534883721e+06
4.210000000000e+02,7.011128341676e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.317228045411e+02,2.104377234145e+08,2.707534883721e+06
4.220000000000e+02,7.007776565374e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.315991876806e+02,2.104307157616e+08,2.707534883721e+06
4.230000000000e+02,7.004446347168e+03,0.000000000000e+00,5.023255813953e-03,0.000000000000e+00,0.000000000000e+00,4.314763423496e+02,2.104237114382e+08,2.983813953488e+06
4.240000000000e+02,7.001137273915e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.313542537439e+02,2.104167104231e+08,2.983813953488e+06
4.250000000000e+02,6.997849024350e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.312329104367e+02,2.104097126955e+08,2.983813953488e+06
4.260000000000e+02,6.994581190667e+03,0.000000000000e+00,3.013953488372e-03,0.000000000000e+00,0.000000000000e+00,4.311122977954e+02,2.104027182350e+08,3.149581395349e+06
4.270000000000e+02,6.991333388960e+03,0.000000000000e+00,7.032558139535e-03,0.000000000000e+00,0.000000000000e+00,4.309924020563e+02,2.103957270215e+08,3.536372093023e+06
4.280000000000e+02,6.988105257527e+03,0.000000000000e+00,6.027906976744e-03,0.000000000000e+00,0.000000000000e+00,4.308732102629e+02,2.103887390355e+08,3.867906976744e+06
4.290000000000e+02,6.984896444687e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.307547098170e+02,2.103817542576e+08,3.867906976744e+06
4.300000000000e+02,6.981706614124e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.306368886764e+02,2.103747726688e+08,3.867906976744e+06
4.310000000000e+02,6.978535437420e+03,0.000000000000e+00,3.013953488372e-03,0.000000000000e+00,0.000000000000e+00,4.305197350799e+02,2.103677942506e+08,4.033674418605e+06
4.320000000000e+02,6.975382597969e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.304032376920e+02,2.103608189845e+08,4.033674418605e+06
4.330000000000e+02,6.972247794150e+03,0.000000000000e+00,4.018604651163e-03,0.000000000000e+00,0.000000000000e+00,4.302873857208e+02,2.103538468526e+08,4.254697674419e+06
4.340000000000e+02,6.969130716273e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.301721680664e+02,2.103468778371e+08,4.254697674419e+06
4.350000000000e+02,6.966031079752e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.300575745474e+02,2.103399119206e+08,4.254697674419e+06
4.360000000000e+02,6.962948595189e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.299435947952e+02,2.103329490860e+08,4.254697674419e+06
4.370000000000e+02,6.959883005438e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.298302196250e+02,2.103259893164e+08,4.254697674419e+06
4.380000000000e+02,6.956834036493e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.297174392203e+02,2.103190325952e+08,4.254697674419e+06
4.390000000000e+02,6.953801421860e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.296052440337e+02,2.103120789059e+08,4.254697674419e+06
4.400000000000e+02,6.950784929434e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.294936257823e+02,2.103051282326e+08,4.254697674419e+06
4.410000000000e+02,6.947784291992e+03,0.000000000000e+00,6.027906976744e-03,0.000000000000e+00,0.000000000000e+00,4.293825748760e+02,2.102981805594e+08,4.586232558140e+06
4.420000000000e+02,6.944799290099e+03,0.000000000000e+00,4.018604651163e-03,0.000000000000e+00,0.000000000000e+00,4.292720834859e+02,2.102912358706e+08,4.807255813953e+06
4.430000000000e+02,6.941829677857e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.291621427959e+02,2.102842941509e+08,4.807255813953e+06
4.440000000000e+02,6.938875230453e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.290527447638e+02,2.102773553850e+08,4.807255813953e+06
4.450000000000e+02,6.935935722570e+03,0.000000000000e+00,9.041860465116e-03,0.000000000000e+00,0.000000000000e+00,4.289438813216e+02,2.102704195582e+08,5.304558139535e+06
4.460000000000e+02,6.933010957559e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.288355454565e+02,2.102634866556e+08,5.304558139535e+06
