# Observation File: surface_total_concentration_crunch.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface total concentration
# Region: east conc
# Functional: average
# Variable: surface-total_component_concentration
# Number of Vectors: 4
# =============================================================================
"time [s]" "surface total concentration"
1.209600000000e+07 6.501127917568e-07 2.910810425391e-05 1.704063994638e-05 1.120007641536e-05
1.218240000000e+07 6.486044067054e-07 2.908437509122e-05 1.703814182529e-05 1.117998553098e-05
1.226880000000e+07 6.464430695751e-07 2.905037420592e-05 1.703450672266e-05 1.115125046273e-05
1.235520000000e+07 6.438843158987e-07 2.901009285087e-05 1.703016338474e-05 1.111724240234e-05
1.244160000000e+07 6.411161947757e-07 2.896647160780e-05 1.702542939747e-05 1.108044348438e-05
1.252800000000e+07 6.382761200718e-07 2.892166494096e-05 1.702053966316e-05 1.104267018586e-05
1.261440000000e+07 6.354684187676e-07 2.887731550565e-05 1.701567558389e-05 1.100530528732e-05
1.270080000000e+07 6.327610880367e-07 2.883450145378e-05 1.701095855774e-05 1.096925416236e-05
1.278720000000e+07 6.301533486394e-07 2.879321455756e-05 1.700639091142e-05 1.093450682261e-05
1.287360000000e+07 6.276473323890e-07 2.875349212483e-05 1.700197961898e-05 1.090109197389e-05
1.296000000000e+07 6.252422461205e-07 2.871532705340e-05 1.699772621763e-05 1.086900144054e-05
1.304640000000e+07 5.493814703524e-07 2.333418606354e-05 1.380141585993e-05 8.801501376866e-06
1.313280000000e+07 5.490725503088e-07 2.342732951912e-05 1.387224889713e-05 8.822613670141e-06
1.321920000000e+07 5.490873474004e-07 2.354859300377e-05 1.396075775292e-05 8.853609298509e-06
1.330560000000e+07 5.485760306876e-07 2.363566089337e-05 1.402954637537e-05 8.870906926191e-06
1.339200000000e+07 5.476807093441e-07 2.370389293879e-05 1.408844793199e-05 8.879736345756e-06
1.347840000000e+07 5.462697511075e-07 2.374913663079e-05 1.413576046559e-05 8.877778605995e-06
1.356480000000e+07 5.442776893142e-07 2.377037048201e-05 1.417143019237e-05 8.864117971263e-06
1.365120000000e+07 5.417590989470e-07 2.377251572748e-05 1.419853768608e-05 8.840496255017e-06
1.373760000000e+07 5.388081510273e-07 2.376111597021e-05 1.422019378651e-05 8.809215575036e-06
1.382400000000e+07 5.355149605342e-07 2.374028103085e-05 1.423849062566e-05 8.772185265609e-06
1.391040000000e+07 5.319539420307e-07 2.371273021839e-05 1.425466874734e-05 8.730804678604e-06
1.399680000000e+07 5.281835365437e-07 2.368027192777e-05 1.426947442669e-05 8.686078895622e-06
1.408320000000e+07 5.242490299075e-07 2.364421609237e-05 1.428342849868e-05 8.638754638507e-06
1.416960000000e+07 5.201859468789e-07 2.360566672984e-05 1.429700120782e-05 8.589431645290e-06
1.425600000000e+07 5.160233448931e-07 2.356574352884e-05 1.431073850469e-05 8.538652842970e-06
1.434240000000e+07 5.117687979181e-07 2.352413851464e-05 1.432434868415e-05 8.486402835809e-06
1.442880000000e+07 5.074654655554e-07 2.348403918621e-05 1.433975442595e-05 8.433878519002e-06
1.451520000000e+07 5.031634259207e-07 2.345004348119e-05 1.435984958864e-05 8.382692458684e-06
1.460160000000e+07 4.989074758508e-07 2.342734512678e-05 1.438802618298e-05 8.334549614837e-06
1.468800000000e+07 4.946837967795e-07 2.341675080216e-05 1.442504151586e-05 8.289496708322e-06
1.477440000000e+07 4.905067065344e-07 2.342254903425e-05 1.447394505103e-05 8.248706261703e-06
1.486080000000e+07 4.866422835500e-07 2.347718704595e-05 1.455604692937e-05 8.222717268992e-06
1.494720000000e+07 4.823229130219e-07 2.351375611499e-05 1.462982515649e-05 8.187506330797e-06
