# Observation File: surface_free_ion_species_crunch.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface free concentration
# Region: east conc
# Functional: average
# Variable: surface-free_ion_species
# Number of Vectors: 4
# =============================================================================
"time [s]" "surface free concentration"
1.270080000000e+07 1.599479735666e-08 1.526666844789e-03 9.244523403152e-04 6.087936060112e-04
1.278720000000e+07 1.596942029533e-08 1.524537575554e-03 9.242188752535e-04 6.068651286547e-04
1.287360000000e+07 1.594499726620e-08 1.522488822064e-03 9.239933347156e-04 6.050106045506e-04
1.296000000000e+07 1.592152445999e-08 1.520520236039e-03 9.237758053421e-04 6.032295799501e-04
1.304640000000e+07 1.622773864714e-08 1.237314450596e-03 7.528128040098e-04 4.884833264161e-04
1.313280000000e+07 1.619228461759e-08 1.242266750860e-03 7.566199769306e-04 4.896550586928e-04
1.321920000000e+07 1.615372772171e-08 1.248702921900e-03 7.613753936688e-04 4.913753160673e-04
1.330560000000e+07 1.611776837465e-08 1.253335165729e-03 7.650726418943e-04 4.923353344036e-04
1.339200000000e+07 1.608171662404e-08 1.256975824720e-03 7.682398084627e-04 4.928253671894e-04
1.347840000000e+07 1.604457522702e-08 1.259407763020e-03 7.707861703078e-04 4.927167126327e-04
1.356480000000e+07 1.600546517142e-08 1.260578423838e-03 7.727092857319e-04 4.919585474051e-04
1.365120000000e+07 1.596366862340e-08 1.260747745531e-03 7.741745221384e-04 4.906475421534e-04
1.373760000000e+07 1.591896400255e-08 1.260207744340e-03 7.753486424369e-04 4.889114644145e-04
1.382400000000e+07 1.587152073723e-08 1.259174416223e-03 7.763436577687e-04 4.868562822413e-04
1.391040000000e+07 1.582170041099e-08 1.257790343748e-03 7.772259212200e-04 4.845596596625e-04
1.399680000000e+07 1.576988550646e-08 1.256150112751e-03 7.780352928012e-04 4.820773787070e-04
1.408320000000e+07 1.571640303183e-08 1.254322152962e-03 7.787995792541e-04 4.794508824372e-04
1.416960000000e+07 1.566149824391e-08 1.252364206129e-03 7.795439265916e-04 4.767134563136e-04
1.425600000000e+07 1.560530867218e-08 1.250334966120e-03 7.802975492320e-04 4.738952327848e-04
1.434240000000e+07 1.554803487861e-08 1.248217896879e-03 7.810447548569e-04 4.709953573874e-04
1.442880000000e+07 1.548948035919e-08 1.246181035888e-03 7.818886414524e-04 4.680802578046e-04
1.451520000000e+07 1.542920111676e-08 1.244467010481e-03 7.829844163506e-04 4.652394314570e-04
1.460160000000e+07 1.536655564435e-08 1.243350074659e-03 7.845140289321e-04 4.625675036235e-04
1.468800000000e+07 1.530121160724e-08 1.242873097442e-03 7.865181469739e-04 4.600670673119e-04
1.477440000000e+07 1.523239307189e-08 1.243262809914e-03 7.891603686190e-04 4.578031975245e-04
1.486080000000e+07 1.515611645392e-08 1.246232517877e-03 7.935835214047e-04 4.563608084291e-04
1.494720000000e+07 1.507787780206e-08 1.248252098929e-03 7.975612119815e-04 4.544066013593e-04
1.503360000000e+07 1.500230900302e-08 1.247042430424e-03 7.995891667703e-04 4.511465692154e-04
1.512000000000e+07 1.492739465312e-08 1.244797586199e-03 8.010036377750e-04 4.474573487213e-04
1.520640000000e+07 1.485381831382e-08 1.241968846456e-03 8.020380677124e-04 4.435607716221e-04
1.529280000000e+07 1.478171948560e-08 1.238777105688e-03 8.028138939648e-04 4.395582105701e-04
1.537920000000e+07 1.471098439269e-08 1.235337507318e-03 8.034013243358e-04 4.354955651940e-04
1.546560000000e+07 1.464147042575e-08 1.231720428909e-03 8.038458534997e-04 4.313982832079e-04
1.555200000000e+07 1.457314668081e-08 1.227934912661e-03 8.041527959627e-04 4.272701228565e-04
1.563840000000e+07 1.450592324698e-08 1.224036585791e-03 8.043571813073e-04 4.231321110742e-04
1.572480000000e+07 1.443970815771e-08 1.220068708220e-03 8.044875068969e-04 4.189993318171e-04
1.581120000000e+07 1.437437139802e-08 1.216055252791e-03 8.045622383229e-04 4.148774552232e-04
1.589760000000e+07 1.430976764320e-08 1.212010348929e-03 8.045948560391e-04 4.107672170110e-04
1.598400000000e+07 1.424575177711e-08 1.207942294907e-03 8.045955019914e-04 4.066668197686e-04
1.607040000000e+07 1.418218499525e-08 1.203855545430e-03 8.045718953894e-04 4.025730216439e-04
1.615680000000e+07 1.411894018942e-08 1.199750269757e-03 8.045288221459e-04 3.984812004566e-04
1.624320000000e+07 1.405589979479e-08 1.195626123841e-03 8.044704663911e-04 3.943868260884e-04
1.632960000000e+07 1.399295231882e-08 1.191483495698e-03 8.044012957745e-04 3.902858310346e-04
1.641600000000e+07 1.392999508076e-08 1.187320152894e-03 8.043239092241e-04 3.861733805760e-04
1.650240000000e+07 1.386693606689e-08 1.183132703973e-03 8.042398291373e-04 3.820445534390e-04
1.658880000000e+07 1.380369693769e-08 1.178917375697e-03 8.041498410470e-04 3.778947844829e-04
1.667520000000e+07 1.374021310815e-08 1.174670433582e-03 8.040542348218e-04 3.737200464134e-04
1.676160000000e+07 1.367643268548e-08 1.170388413807e-03 8.039529810706e-04 3.695169063616e-04
1.684800000000e+07 1.361231724882e-08 1.166068244895e-03 8.038458544120e-04 3.652825241562e-04
1.693440000000e+07 1.354783230837e-08 1.161707250511e-03 8.037324680928e-04 3.610146216115e-04
1.702080000000e+07 1.348295897818e-08 1.157303162253e-03 8.036123277484e-04 3.567114384061e-04
1.710720000000e+07 1.341768510032e-08 1.152854030367e-03 8.034847823089e-04 3.523716921762e-04
1.719360000000e+07 1.335200719358e-08 1.148358169182e-03 8.033489923345e-04 3.479945538633e-04
1.728000000000e+07 1.328593064963e-08 1.143814125099e-03 8.032038979162e-04 3.435796466486e-04
