# Observation File: water_balance.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: runoff surface [mol d^-1]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: runoff subsurface [mol d^-1]
# Region: lakeside
# Reduction: extensive integral
# Variable: water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain precipitation [m d^-1]
# Region: surface domain
# Reduction: integral
# Variable: surface-water_source
# Number of Vectors: 1
# =============================================================================
"time [d]","surface water content [mol]","subsurface water content [mol]","runoff surface [mol d^-1]","runoff subsurface [mol d^-1]","rain precipitation [m d^-1]"
4.814821596196e+02,3.046821188953e+06,9.023317894241e+07,0.000000000000e+00,2.459957802118e+03,1.299426220706e-01
4.844900906860e+02,3.063717847624e+06,9.022096879371e+07,0.000000000000e+00,2.474343109323e+03,1.299426220706e-01
4.874980217525e+02,3.080576997231e+06,9.020878263889e+07,0.000000000000e+00,2.488657667211e+03,1.299426220706e-01
4.912579355855e+02,3.101573364593e+06,9.019358717254e+07,0.000000000000e+00,3.133047431252e+03,1.624282775882e-01
4.959578278768e+02,3.127735571191e+06,9.017465167722e+07,0.000000000000e+00,3.950766914032e+03,2.030353469853e-01
4.983077740225e+02,3.140804668365e+06,9.016519690038e+07,0.000000000000e+00,1.983972537011e+03,1.015176734926e-01
5.012452067046e+02,3.157098804259e+06,9.015340110248e+07,0.000000000000e+00,2.493328144072e+03,1.268970918658e-01
5.049169975572e+02,3.177409102120e+06,9.013869155627e+07,0.000000000000e+00,3.137427705182e+03,1.586213648322e-01
5.106541707644e+02,3.208992056096e+06,9.011579367742e+07,0.000000000000e+00,4.952473412373e+03,2.478458825504e-01
5.134555248694e+02,3.224377288525e+06,9.010463331267e+07,0.000000000000e+00,2.430140003834e+03,1.210184973391e-01
5.162568789745e+02,3.239721612462e+06,9.009349357239e+07,0.000000000000e+00,2.442034749157e+03,1.210184973391e-01
5.190582330796e+02,3.255058235782e+06,9.008237356052e+07,0.000000000000e+00,2.453884243813e+03,1.210184973391e-01
5.218595871847e+02,3.270355621792e+06,9.007127243280e+07,0.000000000000e+00,2.465688954152e+03,1.210184973391e-01
5.253612798160e+02,3.289432020802e+06,9.005742775161e+07,0.000000000000e+00,3.100465670413e+03,1.512731216738e-01
5.297383956052e+02,3.313190297555e+06,9.004016989539e+07,0.000000000000e+00,3.904085544636e+03,1.890914020923e-01
5.365776390258e+02,3.350176620943e+06,9.001328069389e+07,0.000000000000e+00,6.169030545765e+03,2.954553157692e-01
