# Observation File: water_balance.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: surface runoff [mol d^-1]
# Region: outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface seepage [mol d^-1]
# Region: lakeside
# Reduction: extensive integral
# Variable: water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evapotranspiration [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface-total_evapotranspiration
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow precipitation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow melt [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain precipitation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# =============================================================================
"time [d]","surface runoff [mol d^-1]","subsurface seepage [mol d^-1]","evapotranspiration [m d^-1]","snow precipitation [m d^-1]","snow melt [m d^-1]","rain precipitation [m d^-1]","surface water content [mol]","subsurface water content [mol]","snow water content [mol]"
3.970000000000e+02,0.000000000000e+00,1.220756309043e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728877161755e+06,1.140921763094e+08,1.160372093023e+06
3.980000000000e+02,0.000000000000e+00,1.220045578868e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728863455874e+06,1.140799895601e+08,1.160372093023e+06
3.990000000000e+02,0.000000000000e+00,1.219324402831e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728849556208e+06,1.140678102164e+08,1.160372093023e+06
4.000000000000e+02,0.000000000000e+00,1.218593269448e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728835468122e+06,1.140556383724e+08,1.160372093023e+06
4.010000000000e+02,0.000000000000e+00,1.217852633328e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728821196602e+06,1.140434741181e+08,1.160372093023e+06
4.020000000000e+02,0.000000000000e+00,1.217102895320e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728806746332e+06,1.140313175394e+08,1.160372093023e+06
4.030000000000e+02,0.000000000000e+00,1.216344533361e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728792121703e+06,1.140191687192e+08,1.160372093023e+06
4.040000000000e+02,0.000000000000e+00,1.215577876301e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728777326740e+06,1.140070277359e+08,1.160372093023e+06
4.050000000000e+02,0.000000000000e+00,1.214803297793e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728762365190e+06,1.139948946650e+08,1.160372093023e+06
4.060000000000e+02,0.000000000000e+00,1.214021125290e+04,0.000000000000e+00,7.032558139535e-03,0.000000000000e+00,0.000000000000e+00,5.728747240479e+06,1.139827695784e+08,1.353767441860e+06
4.070000000000e+02,0.000000000000e+00,1.213231750071e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728731955790e+06,1.139706525461e+08,1.353767441860e+06
4.080000000000e+02,0.000000000000e+00,1.212435441631e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728716514031e+06,1.139585436338e+08,1.353767441860e+06
4.090000000000e+02,0.000000000000e+00,1.211632507571e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728700917871e+06,1.139464429053e+08,1.353767441860e+06
4.100000000000e+02,0.000000000000e+00,1.210823237467e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728685169733e+06,1.139343504214e+08,1.353767441860e+06
4.110000000000e+02,0.000000000000e+00,1.210007907068e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728669271777e+06,1.139222662406e+08,1.353767441860e+06
4.120000000000e+02,0.000000000000e+00,1.209186779936e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728653225938e+06,1.139101904190e+08,1.353767441860e+06
4.130000000000e+02,0.000000000000e+00,1.208360108530e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728637033903e+06,1.138981230103e+08,1.353767441860e+06
4.140000000000e+02,0.000000000000e+00,1.207528134892e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728620697123e+06,1.138860640660e+08,1.353767441860e+06
4.150000000000e+02,0.000000000000e+00,1.206691091364e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728604216807e+06,1.138740136357e+08,1.353767441860e+06
4.160000000000e+02,0.000000000000e+00,1.205849201157e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728587593921e+06,1.138619717669e+08,1.353767441860e+06
